"filename", "language", "TypeScript JSX", "XML", "CSS", "TypeScript", "JSON with Comments", "Rust", "JSON", "Markdown", "JavaScript", "YAML", "CASIO BASIC", "HTML", "comment", "blank", "total"
"/Users/william/dev/engine-simulator/src/components/tabViews/bottom.tsx", "TypeScript JSX", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 193
"/Users/william/dev/engine-simulator/src/components/tabViews/fuelandtiming.tsx", "TypeScript JSX", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 177
"/Users/william/dev/engine-simulator/src/components/tabViews/tabElement.css", "CSS", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 52
"/Users/william/dev/engine-simulator/src/components/tabViews/top.tsx", "TypeScript JSX", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 133
"/Users/william/dev/engine-simulator/src/components/topBar.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 202
"/Users/william/dev/engine-simulator/src/components/topBar.tsx.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/william/dev/engine-simulator/src/components/ui/button.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/william/dev/engine-simulator/src/components/ui/button.tsx.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/william/dev/engine-simulator/src/components/ui/graph.tsx", "TypeScript JSX", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 208
"/Users/william/dev/engine-simulator/src/components/ui/options.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/william/dev/engine-simulator/src/components/ui/options.tsx.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/william/dev/engine-simulator/src/components/ui/slider.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"/Users/william/dev/engine-simulator/src/components/ui/slider.tsx.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/william/dev/engine-simulator/src/components/ui/statisticItem.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/william/dev/engine-simulator/src/components/ui/statisticItem.tsx.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/william/dev/engine-simulator/src/components/ui/statisticList.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/william/dev/engine-simulator/src/components/ui/statisticList.tsx.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/william/dev/engine-simulator/src/components/ui/tabBar.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"/Users/william/dev/engine-simulator/src/components/ui/tabBar.tsx.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/william/dev/engine-simulator/src/custom.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/william/dev/engine-simulator/src/index.css", "CSS", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 125
"/Users/william/dev/engine-simulator/src/index.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/william/dev/engine-simulator/src/services/calculations.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 127
"/Users/william/dev/engine-simulator/src/services/fileSystem.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 80
"/Users/william/dev/engine-simulator/src/services/globals-context-provider.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 75
"/Users/william/dev/engine-simulator/src/services/globals.tsx", "TypeScript JSX", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 43, 266
"/Users/william/dev/engine-simulator/src/services/tabOptionData.tsx", "TypeScript JSX", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 235
"/Users/william/dev/engine-simulator/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 2, 12
"/Users/william/dev/engine-simulator/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 2070, 196, 327, 8, 26, 34, 19417, 55, 9, 54, 3, 19, 184, 361, 22763
